,,,,,,,,,,,,
신분류체계정보 관광타입정보 연계 정의서,,,,,,,,,,,,
,,,,,,,,,,,,
대분류(lclsSystem1),,중분류(lclsSystem2),,소분류 코드(clsSystem3),,관광타입(contenttypeid),,,,,,
대분류코드,대분류명,중분류코드,중분류명,소분류코드,소분류명,국문코드,다국어코드,관광타입명,,관광타입명,국문코드,다국어코드
AC,숙박,AC01,호텔,AC010100,호텔,32,80,숙박,,관광지,12,76
,,AC02,콘도미니엄,AC020100,콘도,32,80,숙박,,문화시설,14,78
,,,,AC020200,레지던스,32,80,숙박,,축제/공연/행사,15,85
,,AC03,펜션/민박,AC030100,펜션,32,80,숙박,,여행코스,25,-
,,,,AC030200,한옥스테이,32,80,숙박,,레포츠,28,75
,,,,AC030300,농어촌민박,32,80,숙박,,숙박,32,80
,,,,AC030400,홈스테이,32,80,숙박,,쇼핑,38,79
,,AC04,모텔,AC040100,모텔,32,80,숙박,,음식점,39,82
,,AC05,캠핑,AC050100,일반야영장,28,75,레포츠,,,,
,,,,AC050200,오토캠핑장,28,75,레포츠,,,,
,,,,AC050300,카라반,28,75,레포츠,,,,
,,,,AC050400,글램핑장,28,75,레포츠,,,,
,,AC06,호스텔,AC060100,유스호스텔,32,80,숙박,,,,
,,,,AC060200,게스트하우스,32,80,숙박,,,,
EV,축제/공연/행사,EV01,축제,EV010100,문화관광축제,15,85,축제/공연/행사,,,,
,,,,EV010200,문화예술축제,15,85,축제/공연/행사,,,,
,,,,EV010300,지역특산물축제,15,85,축제/공연/행사,,,,
,,,,EV010400,전통역사축제,15,85,축제/공연/행사,,,,
,,,,EV010500,생태자연축제,15,85,축제/공연/행사,,,,
,,,,EV010600,기타축제,15,85,축제/공연/행사,,,,
,,EV02,공연,EV020100,전통공연,15,85,축제/공연/행사,,,,
,,,,EV020200,연극,15,85,축제/공연/행사,,,,
,,,,EV020300,뮤지컬,15,85,축제/공연/행사,,,,
,,,,EV020400,오페라,15,85,축제/공연/행사,,,,
,,,,EV020500,무용,15,85,축제/공연/행사,,,,
,,,,EV020600,클래식음악회,15,85,축제/공연/행사,,,,
,,,,EV020700,대중콘서트,15,85,축제/공연/행사,,,,
,,,,EV020800,영화,15,85,축제/공연/행사,,,,
,,,,EV020900,기타공연,15,85,축제/공연/행사,,,,
,,,,EV021000,넌버벌,15,85,축제/공연/행사,,,,
,,EV03,행사,EV030100,전시회,15,85,축제/공연/행사,,,,
,,,,EV030200,박람회,15,85,축제/공연/행사,,,,
,,,,EV030300,스포츠경기,15,85,축제/공연/행사,,,,
,,,,EV030400,기타행사,15,85,축제/공연/행사,,,,
EX,체험관광,EX01,전통체험,EX010100,전통문화체험,12,76,관광지,,,,
,,EX02,공예체험,EX020100,금속공예체험,12,76,관광지,,,,
,,,,EX020200,유리공예체험,12,76,관광지,,,,
,,,,EX020300,가죽공예체험,12,76,관광지,,,,
,,,,EX020400,기타공예체험,12,76,관광지,,,,
,,EX03,농.산.어촌 체험,EX030100,체험마을,12,76,관광지,,,,
,,,,EX030200,체험목장,12,76,관광지,,,,
,,,,EX030300,체험농장,12,76,관광지,,,,
,,,,EX030400,체험어장,12,76,관광지,,,,
,,EX04,산사체험,EX040100,템플스테이,12,76,관광지,,,,
,,,,EX040200,사찰문화체험,12,76,관광지,,,,
,,EX05,웰니스관광,EX050100,온천 / 사우나 / 스파,12,76,관광지,,,,
,,,,EX050200,찜질방,12,76,관광지,,,,
,,,,EX050300,한방체험,12,76,관광지,,,,
,,,,EX050400,힐링명상,12,76,관광지,,,,
,,,,EX050500,뷰티스파,12,76,관광지,,,,
,,,,EX050600,기타웰니스,12,76,관광지,,,,
,,,,EX050700,자연치유,12,76,관광지,,,,
,,,,EX050800,기타의료관광,12,76,관광지,,,,
,,EX06,산업관광,EX060100,근대산업유산,12,76,관광지,,,,
,,,,EX060200,게임 등 첨단IT산업,12,76,관광지,,,,
,,,,EX060300,전통/향토산업,12,76,관광지,,,,
,,,,EX060400,문화콘텐츠산업,12,76,관광지,,,,
,,,,EX060500,장수기업/산업테마거리,12,76,관광지,,,,
,,,,EX060600,자동차/조선/철강 등,12,76,관광지,,,,
,,,,EX060700,로봇/항공우주산업,12,76,관광지,,,,
,,,,EX060800,화장품/주류/먹거리,12,76,관광지,,,,
,,,,EX060900,친환경/신재생에너지,12,76,관광지,,,,
,,,,EX061000,기타산업관광지,12,76,관광지,,,,
,,EX07,기타체험,EX070100,유람선/잠수함관광,12,76,관광지,,,,
,,,,EX070200,기타체험관광,12,76,관광지,,,,
FD,음식,FD01,한식,FD010100,관광식당,39,82,음식점,,,,
,,,,FD010200,모범음식점,39,82,음식점,,,,
,,FD02,외국식,FD020100,중식,39,82,음식점,,,,
,,,,FD020200,일식,39,82,음식점,,,,
,,,,FD020300,서양식,39,82,음식점,,,,
,,,,FD020400,기타외국식,39,82,음식점,,,,
,,,,FD020500,퓨전음식,39,82,음식점,,,,
,,FD03,간이음식,FD030100,제과,39,82,음식점,,,,
,,,,FD030200,"피자, 햄버거, 샌드위치 및 유사음식",39,82,음식점,,,,
,,,,FD030300,치킨,39,82,음식점,,,,
,,,,FD030400,김밥 분식,39,82,음식점,,,,
,,,,FD030500,이동음식,39,82,음식점,,,,
,,,,FD030600,기타간이음식,39,82,음식점,,,,
,,FD04,주점,FD040100,바/펍,39,82,음식점,,,,
,,,,FD040200,생맥주전문점,39,82,음식점,,,,
,,,,FD040300,클럽,39,82,음식점,,,,
,,,,FD040400,전통주/민속주점,39,82,음식점,,,,
,,,,FD040500,기타주점,39,82,음식점,,,,
,,FD05,카페/ 찻집,FD050100,카페,39,82,음식점,,,,
,,,,FD050200,찻집,39,82,음식점,,,,
,,,,FD050300,기타음료점,39,82,음식점,,,,
HS,역사관광,HS01,역사유적지,HS010100,고궁,12,76,관광지,,,,
,,,,HS010200,성ㆍ산성ㆍ성곽,12,76,관광지,,,,
,,,,HS010300,문,12,76,관광지,,,,
,,,,HS010400,고택,12,76,관광지,,,,
,,,,HS010500,생가,12,76,관광지,,,,
,,,,HS010600,민속마을,12,76,관광지,,,,
,,,,HS010700,사적지,12,76,관광지,,,,
,,,,HS010800,"고분, 능",12,76,관광지,,,,
,,,,HS010900,사당,12,76,관광지,,,,
,,,,HS011000,선사유적지,12,76,관광지,,,,
,,,,HS011100,근대건축물,12,76,관광지,,,,
,,,,HS011200,기타역사유적지,12,76,관광지,,,,
,,HS02,역사유물,HS020100,탑ㆍ비석ㆍ기념탑,12,76,관광지,,,,
,,,,HS020200,선사유물,12,76,관광지,,,,
,,,,HS020300,불상,12,76,관광지,,,,
,,,,HS020400,기타역사유물,12,76,관광지,,,,
,,HS03,종교성지,HS030100,불교,12,76,관광지,,,,
,,,,HS030200,기독교,12,76,관광지,,,,
,,,,HS030300,이슬람,12,76,관광지,,,,
,,,,HS030400,기타 종교성지,12,76,관광지,,,,
,,HS04,안보관광지,HS040100,안보유적지,12,76,관광지,,,,
,,,,HS040200,안보관광시설,12,76,관광지,,,,
,,,,HS040300,북한관광지,12,76,관광지,,,,
,,,,HS040400,기타안보관광지,12,76,관광지,,,,
LS,레저스포츠,LS01,육상레저스포츠,LS010100,인라인(실내 인라인 포함),28,75,레포츠,,,,
,,,,LS010200,자전거하이킹,28,75,레포츠,,,,
,,,,LS010300,카트,28,75,레포츠,,,,
,,,,LS010400,골프,28,75,레포츠,,,,
,,,,LS010500,경마,28,75,레포츠,,,,
,,,,LS010600,경륜,28,75,레포츠,,,,
,,,,LS010700,승마,28,75,레포츠,,,,
,,,,LS010800,스키/스노보드,28,75,레포츠,,,,
,,,,LS010900,스케이트,28,75,레포츠,,,,
,,,,LS011000,썰매장,28,75,레포츠,,,,
,,,,LS011100,수렵장,28,75,레포츠,,,,
,,,,LS011200,사격장,28,75,레포츠,,,,
,,,,LS011300,암벽등반,28,75,레포츠,,,,
,,,,LS011400,서바이벌게임,28,75,레포츠,,,,
,,,,LS011500,ATV,28,75,레포츠,,,,
,,,,LS011600,MTB,28,75,레포츠,,,,
,,,,LS011700,오프로드,28,75,레포츠,,,,
